Diseases,Counts
Low Back Pain,46792
Unconsciousness,46726
Jaundice,45847
Deafness,45817
Ventricular Fibrillation,45699
"Translocation, Genetic",45620
Ventricular Outflow Obstruction,45394
Eclampsia,45262
Hip Fractures,45168
"Tachycardia, Ventricular",45152
Joint Dislocations,45042
"Carcinoma, Ductal",44877
Endocarditis,44730
Urolithiasis,44710
Peritonitis,44603
Spondylitis,44539
Occupational Stress,44528
Cicatrix,44423
Bronchitis,43701
"Abortion, Spontaneous",43522
Cholestasis,43317
Dehydration,43228
Angiolymphoid Hyperplasia with Eosinophilia,43032
Diabetic Retinopathy,42923
Hemangioma,42861
Down Syndrome,42781
"Wounds, Nonpenetrating",42526
Postoperative Hemorrhage,42452
Nerve Degeneration,42408
Uveitis,42335
"Dermatitis, Contact",42080
Osteosarcoma,41903
Goiter,41895
Hyperthermia,41884
Dizziness,41840
Airway Obstruction,41717
Acute Coronary Syndrome,41694
"Carcinoma, Papillary",41577
"Malaria, Falciparum",41575
Acid-Base Imbalance,41541
"Wounds, Penetrating",41405
"Shock, Septic",41390
Candidiasis,40981
Multiple Trauma,40775
"Leukemia, B-Cell",40570
Cholelithiasis,40525
Urinary Calculi,40501
Pre-Eclampsia,40460
Macular Degeneration,40445
Stomach Ulcer,40345
Emphysema,40247
Clinical Deterioration,40201
"Sleep Apnea, Obstructive",40176
Syphilis,40113
Motor Neuron Disease,40054
"Death, Sudden, Cardiac",39566
Otitis,38918
Malocclusion,38877
"Leukemia, Experimental",38818
Anorexia,38660
Eosinophilia,38613
Starvation,38508
"Hernia, Abdominal",38503
Neck Pain,38426
Heart Septal Defects,38327
Vitamin D Deficiency,38264
Purpura,38110
Hydrocephalus,38093
Coccidiosis,38051
Neuralgia,37418
Intracranial Aneurysm,37120
"Meningitis, Bacterial",37099
"Encephalitis, Viral",36933
Peripheral Arterial Disease,36929
Gastroesophageal Reflux,36879
"Hypertension, Portal",36643
Amyloidosis,36523
"Hearing Loss, Sensorineural",36322
Essential Hypertension,36192
Subarachnoid Hemorrhage,35861
Leukoencephalopathies,35688
"Leukemia, T-Cell",35322
"Obstetric Labor, Premature",35254
"Constriction, Pathologic",35185
Pleural Effusion,35107
"Rhinitis, Allergic",34944
Venous Thromboembolism,34927
Cerebral Palsy,34904
"Hypertrophy, Left Ventricular",34841
Joint Instability,34744
"Carcinoma, Large Cell",34711
"Hepatitis C, Chronic",34685
Prolapse,34632
"Hypoxia, Brain",34539
Osteomyelitis,34379
Musculoskeletal Pain,34335
"Dermatitis, Atopic",34294
Pulmonary Edema,34282
"Fatty Liver, Alcoholic",34058
Sarcoidosis,34038
Chemical and Drug Induced Liver Injury,34007
Hepatic Insufficiency,33899
Hyperparathyroidism,33844
Neural Tube Defects,33776
Encephalomyelitis,33717
Precursor Cell Lymphoblastic Leukemia-Lymphoma,33658
"Aneurysm, Dissecting",33628
"Sexual Dysfunction, Physiological",33594
"Aortic Aneurysm, Abdominal",33543
Anaphylaxis,33530
Constipation,33515
"Hemorrhagic Fevers, Viral",33456
Amyotrophic Lateral Sclerosis,33386
Coronary Occlusion,33372
Muscular Atrophy,33299
Duodenal Ulcer,33281
Otitis Media,33071
Endometriosis,32983
Gastritis,32822
Digestive System Fistula,32663
Hyperbilirubinemia,32639
Osteochondrodysplasias,32606
Zoonoses,32374
Stomatitis,32347
Leishmaniasis,32302
Polyneuropathies,31896
"Pregnancy, Ovarian",31836
"Lymphoma, Large B-Cell, Diffuse",31779
Retinal Detachment,31747
Measles,31643
Infectious Encephalitis,31601
Brain Edema,31590
"Carcinoma, Basal Cell",31578
Vitamin B Deficiency,31520
Thalassemia,31476
Cleft Palate,31194
"Obesity, Morbid",31188
Pelvic Pain,31114
Muscular Dystrophies,31051
Thrombophilia,31009
Keratosis,30967
Pneumothorax,30775
Uremia,30759
Leprosy,30632
Tetanus,30612
Spondylarthritis,30593
Non-alcoholic Fatty Liver Disease,30575
Sinusitis,30563
Systemic Vasculitis,30560
Learning Disabilities,30522
Vascular Fistula,30473
Prostatic Hyperplasia,30438
Cholera,30396
Myelitis,30107
Dermatomycoses,30022
Scoliosis,29909
Coronary Thrombosis,29909
Mitral Valve Insufficiency,29860
Hepatitis A,29846
Graft vs Host Disease,29771
Dental Plaque,29678
ST Elevation Myocardial Infarction,29675
Acute Lung Injury,29571
Diabetic Nephropathies,29486
Celiac Disease,29473
Menstruation Disturbances,29411
Schistosomiasis,29337
"Heart Failure, Systolic",29281
"Diabetes, Gestational",29280
Bradycardia,29235
Hematuria,29189
"Carcinoma, Ductal, Breast",29087
Newcastle Disease,28905
Spinal Curvatures,28863
Myopia,28766
Dengue,28648
Food Hypersensitivity,28620
Ovarian Cysts,28609
Maternal Death,28565
"Rupture, Spontaneous",28530
Heart Aneurysm,28517
Carotid Stenosis,28440
Erectile Dysfunction,28426
"Ischemic Attack, Transient",28413
Monosomy,28413
Genomic Instability,28365
"Epilepsy, Generalized",28281
Keratitis,28270
Arteritis,28266
Shoulder Pain,28179
Phlebitis,28046
Spondylarthropathies,27959
Spinal Fractures,27953
Neuroma,27951
Drug Eruptions,27859
"Endocarditis, Bacterial",27843
Appendicitis,27758
"Aneurysm, Ruptured",27743
"Anemia, Sickle Cell",27672
"Fractures, Open",27667
Pruritus,27632
Leg Ulcer,27592
Agranulocytosis,27570
TDP-43 Proteinopathies,27417
Ventricular Remodeling,27387
Spasm,27285
Uterine Hemorrhage,27158
Meningioma,26981
Diabetic Neuropathies,26948
Teratoma,26883
Arteriovenous Fistula,26851
"Obesity, Abdominal",26788
Conjunctivitis,26779
Lymphadenopathy,26687
"Plaque, Atherosclerotic",26621
Tremor,26516
Myositis,26487
"Limb Deformities, Congenital",26471
Urticaria,26429
Vascular Remodeling,26410
Trypanosomiasis,26383
Alopecia,26349
"Epilepsies, Partial",26242
"Hepatitis B, Chronic",26234
"Cardiomyopathy, Dilated",26206
HIV Seropositivity,26096
Strabismus,26034
Paraganglioma,25974
Pulmonary Arterial Hypertension,25956
Toxoplasmosis,25838
Leiomyoma,25816
Frailty,25726
Myocarditis,25720
Skull Fractures,25657
Exophthalmos,25641
"Scleroderma, Diffuse",25606
Histiocytosis,25603
Kidney Calculi,25580
"Scleroderma, Systemic",25446
Nephrolithiasis,25427
"Vision, Low",25260
Nephrotic Syndrome,25233
Thrombotic Microangiopathies,25202
Pediatric Obesity,25194
"Neoplasm, Residual",25180
Rheumatic Fever,25142
Pulmonary Emphysema,25076
Myocardial Reperfusion Injury,25042
"Aortic Aneurysm, Thoracic",25027
Substance Withdrawal Syndrome,24970
Transfusion Reaction,24959
Papilloma,24930
Esophageal Squamous Cell Carcinoma,24893
Eczema,24765
Graves Disease,24621
Thrombophlebitis,24610
Hemophilia A,24500
"Nephritis, Interstitial",24294
Retinoblastoma,24284
"Carcinoma, Transitional Cell",24232
"Liver Failure, Acute",24229
"Cell Transformation, Viral",24169
Poliomyelitis,24142
Pheochromocytoma,24140
Paraplegia,24009
Chromosome Duplication,23946
Syncope,23915
Adrenocortical Hyperfunction,23843
Coinfection,23717
Mitral Valve Stenosis,23650
Drug Overdose,23642
"Cardiomyopathy, Hypertrophic",23560
Bites and Stings,23551
"Remission, Spontaneous",23540
Diverticulum,23437
"Pancreatitis, Chronic",23366
Delirium,23297
Latent Infection,23279
Neurilemmoma,23260
Nevus,23225
Intracranial Hypertension,23223
Contracture,23219
Nephrosis,23161
Albuminuria,23140
Trisomy,23083
Intracranial Embolism and Thrombosis,23017
Ankylosis,22921
"Arthritis, Infectious",22910
Aspergillosis,22849
Internal Hernia,22795
Dystonia,22760
Hypercalcemia,22718
Multiple Organ Failure,22643
Ectoparasitic Infestations,22588
Mononeuropathies,22540
Pelvic Infection,22466
Dental Deposits,22416
Lipidoses,22395
Fetal Growth Retardation,22344
Diphtheria,22321
Aortic Valve Insufficiency,22304
"Anemia, Iron-Deficiency",22280
Arthralgia,22276
Osteonecrosis,22273
"Osteoporosis, Postmenopausal",22248
Enteritis,22213
"Osteoarthritis, Hip",22211
"Epilepsy, Temporal Lobe",22179
Retinitis,22164
Splenomegaly,22137
Panuveitis,22136
Echinococcosis,22119
Thyroiditis,22028
Varicella Zoster Virus Infection,21966
Tooth Loss,21900
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",21894
Gout,21882
Pneumoconiosis,21856
Esophagitis,21842
Heavy Metal Poisoning,21805
Polycystic Ovary Syndrome,21802
"Sarcoma, Experimental",21789
"Hernia, Diaphragmatic",21788
Viremia,21769
Nociceptive Pain,21767
"Purpura, Thrombocytopenic",21735
"Spondylitis, Ankylosing",21694
Cholecystitis,21673
Asphyxia,21640
"Leukemia, Lymphocytic, Chronic, B-Cell",21629
"Anemia, Hypochromic",21616
"Heart Failure, Diastolic",21580
Xerostomia,21553
Cleft Lip,21503
"Melanoma, Experimental",21493
Varicose Veins,21491
Facial Pain,21470
Chagas Disease,21416
Enterocolitis,21391
Fibroma,21371
Cholangitis,21311
"Abdomen, Acute",21308
Breast Carcinoma In Situ,21282
Hyperalgesia,21276
Vertigo,21258
Sprains and Strains,21232
"Pregnancy, Ectopic",21220
"Glaucoma, Open-Angle",21109
Iron Overload,21105
"Adenocarcinoma, Papillary",21059
Tibial Fractures,20979
"Carcinoma, Neuroendocrine",20910
"Liver Cirrhosis, Alcoholic",20763
Gallstones,20723
Intracranial Thrombosis,20716
"Infarction, Middle Cerebral Artery",20702
Dent Disease,20660
Hypogonadism,20634
Myasthenia Gravis,20619
"Pain, Referred",20618
Intervertebral Disc Displacement,20617
Aortic Rupture,20589
"Anemia, Aplastic",20545
Mesothelioma,20514
Abdominal Abscess,20478
Aphasia,20449
Hip Dislocation,20418
Pyelonephritis,20302
"Pregnancy, Abdominal",20247
Gonorrhea,20237
"Arthritis, Experimental",20231
Chorea,20168
"Angina, Unstable",20127
Foot Deformities,20083
Intestinal Fistula,19963
"Heart Septal Defects, Atrial",19962
Glucose Intolerance,19906
Pressure Ulcer,19875
"Heart Septal Defects, Ventricular",19842
Dysostoses,19832
Cervical Intraepithelial Neoplasia,19782
"Uveitis, Anterior",19750
Dwarfism,19718
Cerebellar Ataxia,19690
"Hernia, Inguinal",19680
"Respiratory Distress Syndrome, Newborn",19657
Pharyngitis,19629
Spinal Cord Compression,19597
Intestinal Perforation,19552
Herpes Zoster,19534
Laminopathies,19533
Neuritis,19463
Hallucinations,19433
Cholangiocarcinoma,19328
"Dermatitis, Allergic Contact",19101
Ureteral Obstruction,19094
Diabetic Foot,19087
"Shock, Surgical",19042
"Fractures, Multiple",19001
Adrenal Insufficiency,18973
Paresis,18908
Intestinal Polyps,18854
Leukocytosis,18847
Hamartoma,18838
Sjogren's Syndrome,18808
Amenorrhea,18807
Fibrosarcoma,18780
Oral Hemorrhage,18690
"Shock, Cardiogenic",18663
Nasopharyngeal Carcinoma,18660
Neurofibroma,18647
Hyperpigmentation,18615
"Burnout, Professional",18573
Ciliopathies,18489
Filariasis,18434
Huntington Disease,18340
Osteoporotic Fractures,18332
"Wounds, Gunshot",18328
Lymphedema,18262
Hydronephrosis,18106
Environmental Illness,18038
Hypertriglyceridemia,18030
"Dementia, Vascular",18028
"Ventricular Dysfunction, Right",18011
"Substance Abuse, Intravenous",17975
Bone Cysts,17805
Mastitis,17800
"Aortic Stenosis, Subvalvular",17793
Rheumatic Heart Disease,17774
"Shock, Hemorrhagic",17755
Sleepiness,17741
Urinary Retention,17715
Dysentery,17692
Rickets,17611
"Thyroid Cancer, Papillary",17527
Sarcopenia,17521
Coronary Restenosis,17448
Rabies,17440
End Stage Liver Disease,17404
"Cholestasis, Intrahepatic",17395
Hypotrichosis,17368
Irritable Bowel Syndrome,17364
"Urinary Incontinence, Stress",17338
Disseminated Intravascular Coagulation,17338
Hypocalcemia,17323
Hyperemia,17318
Rubella,17306
Fracture Dislocation,17289
"Mental Retardation, X-Linked",17258
Pericarditis,17240
Dysbiosis,17240
Tissue Adhesions,17190
"Arthritis, Reactive",17173
"Bronchitis, Chronic",17068
Gangrene,17020
Vaccinia,16988
beta-Thalassemia,16980
Periodontal Atrophy,16916
Median Neuropathy,16870
Hepatic Encephalopathy,16849
Hemiplegia,16803
Facial Paralysis,16793
Hyponatremia,16741
Lead Poisoning,16599
Foot Ulcer,16556
Thinness,16521
Tendinopathy,16489
Perinatal Death,16481
Sphingolipidoses,16452
Colonic Polyps,16438
Coronary Aneurysm,16375
Carcinoid Tumor,16370
Femoral Neck Fractures,16366
"Obesity, Maternal",16322
Lipoma,16258
"Encephalitis, Arbovirus",16230
Synovitis,16201
Heart Rupture,16166
Polycythemia,16079
"Intracranial Hemorrhage, Traumatic",16078
Cardiotoxicity,16053
Status Epilepticus,16042
Cystitis,16030
Common Cold,16028
Ileus,16014
Hypokalemia,15984
Uterine Cervical Dysplasia,15965
Pelvic Organ Prolapse,15932
Pulmonary Infarction,15930
Eye Hemorrhage,15922
Tinnitus,15917
Brucellosis,15835
"Arthritis, Juvenile",15821
Pericardial Effusion,15815
Venous Insufficiency,15809
Pelvic Inflammatory Disease,15781
Crystal Arthropathies,15775
"Adenocarcinoma, Mucinous",15766
Pyelitis,15742
"Brain Injury, Chronic",15699
Rhabdomyosarcoma,15697
Tobacco Use Disorder,15691
Gingivitis,15667
"Liver Cirrhosis, Biliary",15658
Respiratory Sounds,15619
"Cardiac Output, Low",15606
Macular Edema,15589
Bronchiectasis,15574
Alexander Disease,15552
"Arrhythmia, Sinus",15520
Atrioventricular Block,15511
Smooth Muscle Tumor,15484
Ophthalmoplegia,15476
Hyperpituitarism,15430
Alveolar Bone Loss,15394
Radius Fractures,15370
Sleep Deprivation,15359
Postmortem Changes,15358
Dyspepsia,15310
Bronchiolitis,15270
Intracranial Embolism,15229
Lyme Disease,15227
Gonadal Dysgenesis,15199
"Pregnancy, Prolonged",15149
Vascular Calcification,15127
Bundle-Branch Block,15111
"Fractures, Compression",15099
"Encephalomyelitis, Autoimmune, Experimental",15078
Cellulitis,15076
Amebiasis,15065
"Fractures, Stress",15002
"Aneurysm, False",14998
"Rhinitis, Allergic, Seasonal",14955
Esophageal and Gastric Varices,14943
Amnesia,14939
Hypercapnia,14919
"Carcinoma, Pancreatic Ductal",14877
Primary Dysautonomias,14874
Polyradiculoneuropathy,14822
Acne Vulgaris,14804
Pulmonary Valve Stenosis,14801
"Thyroiditis, Autoimmune",14786
Idiopathic Pulmonary Fibrosis,14776
"Nervous System Autoimmune Disease, Experimental",14716
Warts,14639
Vaginitis,14638
Tinea,14592
Brain Concussion,14559
Embryo Loss,14544
"Fractures, Closed",14524
"Dilatation, Pathologic",14469
Typhoid Fever,14459
Kyphosis,14393
Cushing Syndrome,14310
"Neoplastic Cells, Circulating",14185
Urethral Obstruction,14151
Hemoptysis,14147
Retinitis Pigmentosa,14134
"Multiple Sclerosis, Relapsing-Remitting",14118
"Lymphoma, T-Cell, Cutaneous",14104
Pregnancy in Diabetics,14097
"Graft Occlusion, Vascular",14094
Wilms Tumor,14012
Alcoholic Intoxication,13994
Acneiform Eruptions,13975
"Tachycardia, Supraventricular",13952
"Tuberculosis, Multidrug-Resistant",13925
Astigmatism,13922
"Leishmaniasis, Visceral",13906
Fecal Incontinence,13872
Polymyositis,13798
Fibromyalgia,13782
Cholecystolithiasis,13753
"Hyperparathyroidism, Secondary",13737
Liver Abscess,13710
Muscle Hypertonia,13690
"Carcinoma, Ovarian Epithelial",13676
"Hypoxia-Ischemia, Brain",13673
"Muscular Dystrophy, Duchenne",13666
"Ductus Arteriosus, Patent",13639
Polyploidy,13608
Osteolysis,13579
Empyema,13536
"Lymphoma, Follicular",13520
"Arthritis, Psoriatic",13493
Lupus Nephritis,13454
Hypopigmentation,13436
Nasal Obstruction,13427
Flushing,13408
Stillbirth,13402
Neurofibromatoses,13387
Tetralogy of Fallot,13377
Spinal Stenosis,13359
"Mouth, Edentulous",13333
Focal Infection,13277
Lymphopenia,13272
Mucinoses,13266
Retinal Neovascularization,13231
"Hyperparathyroidism, Primary",13137
Neonatal Sepsis,13125
Hemorrhagic Stroke,13122
Burkitt Lymphoma,13121
"Hepatitis, Animal",13107
Postpartum Hemorrhage,13085
"Leishmaniasis, Cutaneous",13083
Antiphospholipid Syndrome,13018
Fetal Distress,13017
Yang Deficiency,13012
Optic Neuritis,12988
Leiomyosarcoma,12931
"Hematoma, Subdural",12924
Osteitis,12915
Lymphadenitis,12895
Hepatomegaly,12868
Colic,12803
Paresthesia,12791
Hashimoto Disease,12765
"Histiocytosis, Non-Langerhans-Cell",12753
"Sarcoma, Kaposi",12728
Sudden Infant Death,12716
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,12711
"Hepatitis, Autoimmune",12689
Muscle Spasticity,12677
Intracranial Arteriosclerosis,12621
Microcephaly,12614
Acute Chest Syndrome,12587
Diplopia,12582
"Pneumonia, Aspiration",12581
Synostosis,12547
Guillain-Barre Syndrome,12508
"Dermatitis, Occupational",12457
Carpal Tunnel Syndrome,12442
"Hernia, Ventral",12433
Dermatomyositis,12426
Brain Abscess,12415
Thyroid Nodule,12364
"Erythroblastosis, Fetal",12336
Cachexia,12331
"Pneumonia, Pneumocystis",12323
Ankle Fractures,12296
Facial Neuralgia,12294
Microsatellite Instability,12273
Foot-and-Mouth Disease,12260
Hypopituitarism,12224
Cold Injury,12223
"Histiocytosis, Langerhans-Cell",12217
Hyperphagia,12205
Thymoma,12195
Germinoma,12164
Gliosis,12155
"Carcinoma, Ehrlich Tumor",12149
Poland Syndrome,12148
Mania,12137
"Ossification, Heterotopic",12135
"Angina, Stable",12130
Mental Fatigue,12111
Out-of-Hospital Cardiac Arrest,12076
Ketosis,12071
Mumps,12066
Humeral Fractures,12061
Mucositis,12059
Fat Necrosis,12051
Margins of Excision,12032
"Depression, Postpartum",12031
Vitamin B 12 Deficiency,12017
Telangiectasis,11999
Retinal Dystrophies,11991
Chromosomal Instability,11959
Plague,11943
Postoperative Nausea and Vomiting,11941
Hyperlipoproteinemias,11935
Intussusception,11932
Schistosomiasis mansoni,11911
Meningoencephalitis,11903
Aortic Coarctation,11896
Diabetes Insipidus,11893
Bulimia,11864
Chronic Periodontitis,11857
Adenomatous Polyps,11856
Esophageal Stenosis,11820
"Cardiac Output, High",11808
"Leukemia, Promyelocytic, Acute",11784
Intestinal Polyposis,11764
"Mesothelioma, Malignant",11728
Periodontal Pocket,11719
Surgical Wound Dehiscence,11712
Intervertebral Disc Degeneration,11696
Cryptococcosis,11683
Lichenoid Eruptions,11668
Optic Atrophy,11661
Pemphigus,11660
Myoclonus,11619
Turner Syndrome,11596
Hyperventilation,11573
Endophthalmitis,11562
Neurofibromatosis 1,11562
Ataxia Telangiectasia,11553
Foreign-Body Reaction,11550
Adrenogenital Syndrome,11515
Gas Poisoning,11512
Long QT Syndrome,11507
"Fractures, Ununited",11505
Acromegaly,11500
Renal Artery Obstruction,11493
"Pain, Intractable",11491
Eye Pain,11487
Illusions,11486
"Nevus, Pigmented",11476
Spondylosis,11455
Lichen Planus,11434
Hyperkalemia,11420
Urinary Fistula,11408
Barotrauma,11388
"Cholecystitis, Acute",11380
"Vasculitis, Central Nervous System",11347
Hyperuricemia,11347
Dyslexia,11341
Hemochromatosis,11322
Retinal Hemorrhage,11307
Cardiac Tamponade,11284
Frontotemporal Dementia,11281
Plasmacytoma,11248
Rhabdomyolysis,11223
Cerebrovascular Trauma,11194
"Edema, Cardiac",11164
"Carcinoma, Intraductal, Noninfiltrating",11161
"Hepatitis, Alcoholic",11149
Smallpox,11120
Leptospirosis,11119
Myalgia,11114
Philadelphia Chromosome,11111
"Epilepsy, Absence",11104
Pneumoperitoneum,11056
Shoulder Fractures,11052
Tuberous Sclerosis,11010
Diabetic Ketoacidosis,11000
"Tachycardia, Sinus",10961
Cryptorchidism,10959
"Foot Deformities, Congenital",10873
Pancreatic Cyst,10865
Protein-Energy Malnutrition,10851
"Pregnancy, Tubal",10846
Hyperaldosteronism,10843
Heroin Dependence,10823
"Urinary Bladder, Neurogenic",10802
Exanthema,10802
Oral Ulcer,10777
Toxemia,10769
"Lower Extremity Deformities, Congenital",10761
Intermittent Claudication,10690
Radiculopathy,10689
"Anemia, Macrocytic",10683
Esophageal Fistula,10675
Atrial Flutter,10665
Fasciitis,10661
Foreign-Body Migration,10652
Kimura Disease,10640
"Malaria, Vivax",10618
Choroidal Neovascularization,10617
"Malocclusion, Angle Class II",10606
Bacteriuria,10568
Jaw Fractures,10567
"Fatigue Syndrome, Chronic",10566
"Sarcoidosis, Pulmonary",10561
Medulloblastoma,10542
Tonsillitis,10533
Behcet Syndrome,10514
"Purpura, Thrombocytopenic, Idiopathic",10513
Endotoxemia,10507
Sciatic Neuropathy,10472
"Muscular Atrophy, Spinal",10465
Hypoparathyroidism,10450
"Tuberculosis, Osteoarticular",10440
Marijuana Abuse,10440
Coronary Vessel Anomalies,10439
